Name,Coords
Hat Island WA,"-122.3201,48.0130"
Marietta-Alderwood WA,"-122.5566,48.7932"
Waitsburg WA,"-118.1510,46.2696"
Sunnyslope WA,"-120.3493,47.4913"
South Cle Elum WA,"-120.9525,47.1862"
Selah WA,"-120.5389,46.6482"
Lind WA,"-118.6165,46.9704"
Five Corners WA,"-122.5738,45.6883"
Winthrop WA,"-120.1790,48.4716"
Normandy Park WA,"-122.3436,47.4344"
Home WA,"-122.7744,47.2790"
Graham WA,"-122.2757,47.0407"
Yacolt WA,"-122.4059,45.8650"
Packwood WA,"-121.6702,46.6085"
Queets WA,"-124.3385,47.5314"
Finley WA,"-119.0446,46.1697"
Northport WA,"-117.7796,48.9159"
Medina WA,"-122.2338,47.6256"
Browns Point WA,"-122.4369,47.3036"
Summit WA,"-122.3628,47.1694"
Albion WA,"-117.2511,46.7916"
Sudden Valley WA,"-122.3468,48.7199"
Bunk Foss WA,"-122.0943,47.9618"
Gleed WA,"-120.6025,46.6594"
Maryhill WA,"-120.8070,45.6928"
Oyehut WA,"-124.1632,47.0233"
Alder WA,"-122.2667,46.7872"
Ridgefield WA,"-122.7052,45.8116"
Bryant WA,"-122.1638,48.2400"
Nisqually Indian Community WA,"-122.6728,47.0178"
Porter WA,"-123.2736,46.9489"
Kettle Falls WA,"-118.0620,48.6055"
Chelan WA,"-120.0270,47.8417"
Edison WA,"-122.4310,48.5602"
Neilton WA,"-123.8782,47.4031"
Fox Island WA,"-122.6255,47.2475"
Renton WA,"-122.1905,47.4758"
Baring WA,"-121.4803,47.7661"
Hobart WA,"-121.9960,47.4120"
Wallula WA,"-118.9056,46.0847"
Touchet WA,"-118.6724,46.0412"
Leavenworth WA,"-120.6633,47.5948"
Fobes Hill WA,"-122.1341,47.9391"
Harrington WA,"-118.2552,47.4802"
Port Orchard WA,"-122.6610,47.5164"
Alderwood Manor WA,"-122.2676,47.8147"
Kennewick WA,"-119.1732,46.1979"
Ahtanum WA,"-120.6109,46.5583"
Wilderness Rim WA,"-121.7691,47.4463"
Machias WA,"-122.0515,47.9917"
Bingen WA,"-121.4704,45.7139"
Four Lakes WA,"-117.5891,47.5582"
Springdale WA,"-117.7466,48.0572"
Washtucna WA,"-118.3106,46.7538"
Covington WA,"-122.1044,47.3668"
Allyn WA,"-122.8386,47.3863"
North Sultan WA,"-121.8251,47.8827"
Union Gap WA,"-120.4977,46.5567"
Shelton WA,"-123.1127,47.2188"
Chinook WA,"-123.9425,46.2755"
Blaine WA,"-122.7414,48.9839"
Port Hadlock-Irondale WA,"-122.7890,48.0316"
Burley WA,"-122.6377,47.4166"
Mount Vernon WA,"-122.3116,48.4202"
Electric City WA,"-119.0475,47.9220"
Ronald WA,"-121.0335,47.2338"
Nespelem Community WA,"-119.0244,48.1715"
Amanda Park WA,"-123.9194,47.4532"
Clarkston Heights-Vineland WA,"-117.0831,46.3876"
Boulevard Park WA,"-122.3159,47.5135"
Big Lake WA,"-122.2422,48.3933"
Boyds WA,"-118.1321,48.7245"
Parkwood WA,"-122.5986,47.5266"
Deer Park WA,"-117.4397,47.9642"
Humptulips WA,"-123.9348,47.2491"
SeaTac WA,"-122.2986,47.4445"
Maple Valley WA,"-122.0368,47.3659"
Millwood WA,"-117.2806,47.6856"
Point Roberts WA,"-123.0576,48.9883"
Dixie WA,"-118.1480,46.1392"
East Port Orchard WA,"-122.6183,47.5193"
Morton WA,"-122.2815,46.5575"
Alger WA,"-122.3369,48.6176"
Kahlotus WA,"-118.5556,46.6437"
Fife Heights WA,"-122.3457,47.2593"
Cherry Grove WA,"-122.5764,45.8021"
Clearview WA,"-122.1452,47.8292"
Greenwater WA,"-121.6320,47.1465"
Picnic Point WA,"-122.3079,47.8745"
Kendall WA,"-122.1383,48.9168"
Seabeck WA,"-122.8219,47.6437"
Startup WA,"-121.7495,47.8671"
Steilacoom WA,"-122.5935,47.1699"
Lamont WA,"-117.9049,47.2007"
Bay View WA,"-122.4628,48.4870"
Valley WA,"-117.7244,48.1730"
North Marysville WA,"-122.1459,48.1111"
Brady WA,"-123.5321,47.0064"
May Creek WA,"-121.6743,47.8555"
Clear Lake WA,"-122.2378,48.4561"
Keller WA,"-118.7164,48.0852"
Redmond WA,"-122.1169,47.6762"
Ilwaco WA,"-124.0422,46.3108"
Mountlake Terrace WA,"-122.3076,47.7921"
Parker WA,"-120.4668,46.5022"
Soap Lake WA,"-119.4892,47.3914"
Grand Mound WA,"-123.0119,46.8053"
Manchester WA,"-122.5517,47.5519"
Prairie Heights WA,"-122.1048,47.1529"
Verlot WA,"-121.7679,48.1002"
North Omak WA,"-119.4459,48.4440"
Naches WA,"-120.6945,46.7274"
Summitview WA,"-120.6514,46.5980"
Clover Creek WA,"-122.3827,47.1404"
Prosser WA,"-119.7662,46.2066"
Naselle WA,"-123.8013,46.3650"
Rock Island WA,"-120.1382,47.3743"
Goldendale WA,"-120.8233,45.8192"
Maltby WA,"-122.1044,47.8027"
Oak Harbor WA,"-122.6331,48.2965"
Tanglewilde WA,"-122.7810,47.0512"
Endicott WA,"-117.6867,46.9282"
Mill Creek East WA,"-122.1877,47.8361"
Maple Heights-Lake Desire WA,"-122.0973,47.4441"
Midland WA,"-122.4120,47.1734"
Kingston WA,"-122.4989,47.8014"
Esperance WA,"-122.3469,47.7937"
Grays River WA,"-123.5890,46.3608"
Sultan WA,"-121.8044,47.8708"
La Grande WA,"-122.2962,46.8199"
Ritzville WA,"-118.3808,47.1254"
Malott WA,"-119.6954,48.2919"
Coulee City WA,"-119.2892,47.6120"
Raymond WA,"-123.7380,46.6838"
Wollochet WA,"-122.5769,47.2828"
Quincy WA,"-119.8522,47.2347"
Walla Walla East WA,"-118.3024,46.0517"
Hamilton WA,"-121.9834,48.5282"
Woodinville WA,"-122.1477,47.7569"
Bay Center WA,"-123.9533,46.6211"
Port Townsend WA,"-122.7872,48.1220"
Riverside WA,"-119.5102,48.5047"
Woodway WA,"-122.3851,47.7903"
Qui-nai-elt Village WA,"-124.1903,47.2502"
Stevenson WA,"-121.8932,45.6944"
Ocean Park WA,"-124.0443,46.4961"
Port Angeles WA,"-123.4565,48.1142"
Bonney Lake WA,"-122.1698,47.1789"
Oroville WA,"-119.4304,48.9420"
Garrett WA,"-118.3876,46.0633"
Otis Orchards-East Farms WA,"-117.0854,47.7030"
Warm Beach WA,"-122.3442,48.1649"
Twin Lakes WA,"-118.3590,48.2622"
Conway WA,"-122.3444,48.3357"
College Place WA,"-118.3879,46.0418"
Eastmont WA,"-122.1817,47.8968"
Maple Falls WA,"-122.1048,48.9135"
Ephrata WA,"-119.5344,47.3119"
Buena WA,"-120.3176,46.4299"
Tumwater WA,"-122.9173,46.9890"
Desert Aire WA,"-119.9311,46.6873"
Lake Holm WA,"-122.1335,47.2986"
Mukilteo WA,"-122.3035,47.9094"
Twisp WA,"-120.1169,48.3618"
Lake Shore WA,"-122.6911,45.6911"
Keyport WA,"-122.6232,47.6993"
Lake Stevens WA,"-122.0960,48.0029"
Starbuck WA,"-118.1245,46.5182"
Harrah WA,"-120.5422,46.4071"
Hansville WA,"-122.5579,47.8978"
Carlsborg WA,"-123.1697,48.0842"
Yelm WA,"-122.6261,46.9398"
Fenwick Island DE,"-75.0542,38.4603"
Delmar DE,"-75.5552,38.4651"
Ardencroft DE,"-75.4862,39.8056"
Farmington DE,"-75.5790,38.8699"
Felton DE,"-75.5764,39.0127"
Hartly DE,"-75.7125,39.1683"
Pike Creek DE,"-75.6953,39.7485"
Millville DE,"-75.1287,38.5353"
Highland Acres DE,"-75.5216,39.1162"
Rising Sun-Lebanon DE,"-75.5048,39.0999"
Little Creek DE,"-75.4481,39.1661"
Magnolia DE,"-75.4760,39.0714"
Greenville DE,"-75.6049,39.7783"
Elsmere DE,"-75.5946,39.7385"
Harrington DE,"-75.5707,38.9244"
Seaford DE,"-75.6117,38.6539"
Dover Base Housing DE,"-75.4839,39.1179"
Dagsboro DE,"-75.2467,38.5466"
Milford DE,"-75.4224,38.9091"
Bridgeville DE,"-75.6027,38.7247"
Bellefonte DE,"-75.4982,39.7669"
Smyrna DE,"-75.6076,39.2922"
Wilmington Manor DE,"-75.5849,39.6858"
New Castle DE,"-75.5692,39.6685"
Bowers DE,"-75.4021,39.0602"
Bethel DE,"-75.6194,38.5706"
Selbyville DE,"-75.2083,38.4627"
Houston DE,"-75.5039,38.9174"
Woodside East DE,"-75.5376,39.0676"
Viola DE,"-75.5714,39.0429"
Dewey Beach DE,"-75.0749,38.6958"
Newport DE,"-75.6052,39.7136"
